name,category_ref,department_slug,main_category,category_level1,category_level2,category_level3,count,depth
Guitar Parts,guitar-parts-31794,music,Music,Accessories,Guitar Parts,,1299,2
Accessory Kits,accessory-kits-33807,music,Music,Accessories,Accessory Kits,,1173,2
Microphone Accessories,microphone-accessories-33815,music,Music,Accessories,Microphone Accessories,,693,2
Woodwind Accessories,woodwind-accessories-29350,music,Music,Accessories,Woodwind Accessories,,432,2
Strings,strings-27037,music,Music,Accessories,Strings,,404,2
Stands,stands-27043,music,Music,Accessories,Stands,,389,2
Instrument Pick-ups,instrument-pick-ups-33820,music,Music,Accessories,Instrument Pick-ups,,375,2
Cables,cables-27036,music,Music,Accessories,Cables,,293,2
Stands & Hangers,stands-hangers-27045,music,Music,Accessories,Stands & Hangers,,255,2
Bags & Cases,bags-and-cases-27044,music,Music,Accessories,Bags & Cases,,202,2
Sticks,sticks-27039,music,Music,Accessories,Sticks,,177,2
Violin Accessories,violin-accessories-33821,music,Music,Accessories,Violin Accessories,,173,2
Plectrums,plectrums-31676,music,Music,Accessories,Plectrums,,170,2
Straps,straps-27038,music,Music,Accessories,Straps,,146,2
Drum Heads,drum-heads-31687,music,Music,Accessories,Drum Heads,,114,2
Tuners,tuners-27041,music,Music,Accessories,Tuners,,102,2
Pedals,pedals-27042,music,Music,Accessories,Pedals,,73,2
Guitar Capos,guitar-capos-31675,music,Music,Accessories,Guitar Capos,,64,2
Turntable Cartridges & Needles,turntable-cartridges-and-needles-27046,music,Music,Accessories,Turntable Cartridges & Needles,,60,2
Repair Tool Kits,repair-tool-kits-33806,music,Music,Accessories,Repair Tool Kits,,30,2
"Chairs, Stools & Benches",chairs-stools-benches-33720,music,Music,Accessories,"Chairs, Stools & Benches",,28,2
Guitar Locks & Pins,guitar-locks-pins-33809,music,Music,Accessories,Guitar Locks & Pins,,23,2
Power Supply Adapters,power-supply-adapters-33823,music,Music,Accessories,Power Supply Adapters,,20,2
Metronomes,metronomes-33724,music,Music,Accessories,Metronomes,,10,2
Practice Pads,practice-pads-27040,music,Music,Accessories,Practice Pads,,7,2
Other Music,other-music-29641,music,Music,Music,Other Music,,320,2
Harmonicas,harmonicas-27015,music,Music,Instruments,Harmonicas,,236,2
Keyboards,keyboards-27014,music,Music,Instruments,Keyboards,,142,2
Pianos,pianos-29292,music,Music,Instruments,Pianos,,113,2
Classical,classical-27018,music,Music,Instruments,Classical,,87,2
Melodicas,melodicas-27016,music,Music,Instruments,Melodicas,,14,2
Bass,bass-27013,music,Music,Instruments,Bass,,10,2
Accordions,accordions-27017,music,Music,Instruments,Accordions,,7,2
Arrangers,arrangers-28757,music,Music,Instruments,Arrangers,,2,2
Microphones,microphones-27032,music,Music,Sound & Stage,Microphones,,755,2
Violins,violins-27875,music,Music,Instruments,Violins,,82,2
Effect & Sustain Pedals,effect-sustain-pedals-28765,music,Music,Sound & Stage,Effect & Sustain Pedals,,292,2
Lighting,lighting-27034,music,Music,Sound & Stage,Lighting,,260,2
Effect Machines & Accessories,effect-machines-accessories-27031,music,Music,Sound & Stage,Effect Machines & Accessories,,248,2
Subwoofers,subwoofers-27030,music,Music,Sound & Stage,Subwoofers,,132,2
Effect Processors,effect-processors-28764,music,Music,Sound & Stage,Effect Processors,,101,2
Staging,staging-28767,music,Music,Sound & Stage,Staging,,90,2
Sound Mixers,sound-mixers-28768,music,Music,Sound & Stage,Sound Mixers,,75,2
PA Systems,pa-systems-27029,music,Music,Sound & Stage,PA Systems,,41,2
Equalizers,equalizers-27033,music,Music,Sound & Stage,Equalizers,,34,2
DI Boxes,di-boxes-33735,music,Music,Sound & Stage,DI Boxes,,22,2
Sound Cards,sound-cards-28760,music,Music,DJ & Production,Sound Cards,,214,2
Audio Interfaces,audio-interfaces-28761,music,Music,DJ & Production,Audio Interfaces,,159,2
Turntables,turntables-27026,music,Music,DJ & Production,Turntables,,138,2
Headphones,headphones-27027,music,Music,DJ & Production,Headphones,,78,2
Midi Controllers,midi-controllers-27025,music,Music,DJ & Production,Midi Controllers,,71,2
DJ Mixers,dj-mixers-27022,music,Music,DJ & Production,DJ Mixers,,60,2
In-Ear Monitors,in-ear-monitors-28763,music,Music,DJ & Production,In-Ear Monitors,,59,2
Synthesizers,synthesizers-27024,music,Music,DJ & Production,Synthesizers,,47,2
Audio Recorders,audio-recorders-28762,music,Music,DJ & Production,Audio Recorders,,15,2
Multimedia Players,multimedia-players-27021,music,Music,DJ & Production,Multimedia Players,,7,2
Workstations,workstations-28759,music,Music,DJ & Production,Workstations,,1,2
Posters,posters-25176,music,Music,Merchandise,Posters,,311,2
Clothing,clothing-25168,music,Music,Merchandise,Clothing,,261,2
Lighting,lighting-25173,music,Music,Merchandise,Lighting,,52,2
Electronic Accessories,electronic-accessories-25170,music,Music,Merchandise,Electronic Accessories,,40,2
Luggage,luggage-25174,music,Music,Merchandise,Luggage,,10,2
